"","PWSID","Maximum_sample_exceedence","Units","total_violations","SAMPLING_END_DATE"
"1","WI2650929",0.066,"mg/L",2,"12/31/1993"
"2","WI2650980",0.0174,"mg/L",1,"12/31/1993"
"3","WI2651167",0.02095,"mg/L",1,"12/31/2010"
"4","WI2651311",2.2335,"mg/L",3,"12/31/2009"
"5","WI2651598",0.020285,"mg/L",2,"12/31/2002"
"6","WI2651598",0.020285,"mg/L",2,"12/31/2002"
"7","WI2681760",0.55,"mg/L",1,"12/31/1996"
"8","WI2681762",0.017,"mg/L",1,"12/31/1995"
"9","WI2683556",0.0264,"mg/L",1,"12/31/1993"
"10","WI2683558",0.0175,"mg/L",1,"06/30/1997"
"11","WI2683609",0.019,"mg/L",1,"12/31/1994"
"12","WI2460885",1.6,"mg/L",1,"12/31/1993"
"13","WI2460902",0.031,"mg/L",1,"12/31/1993"
"14","WI2520199",0.0533,"mg/L",1,"12/31/2008"
"15","WI2680505",0.0173,"mg/L",1,"12/31/2003"
"16","WI2680253",2.3,"mg/L",2,"12/31/1992"
"17","WI2680525",0.016,"mg/L",1,"06/30/1994"
"18","WI2680273",0.0765,"mg/L",1,"12/31/1994"
"19","WI2460568",5.35,"mg/L",7,"06/30/2010"
"20","WI4200247",0.0155,"mg/L",1,"12/31/1997"
"21","WI4150517",0.1235,"mg/L",1,"12/31/1993"
"22","WI2680752",0.03555,"mg/L",2,"12/31/2010"
"23","WI2680511",0.0355,"mg/L",2,"12/31/1998"
"24","WI2680543",0.021,"mg/L",1,"12/31/1994"
"25","WI2680562",0.025,"mg/L",2,"12/31/1993"
"26","WI2680593",0.0285,"mg/L",2,"12/31/2010"
"27","WI2680604",0.398,"mg/L",1,"12/31/1994"
"28","WI2670063",0.025,"mg/L",2,"12/31/2006"
"29","WI4360634",1.4,"mg/L",1,"06/30/1994"
"30","WI4380692",0.0304,"mg/L",2,"12/31/2001"
"31","WI4360657",6.1,"mg/L",5,"06/30/2008"
"32","WI4380028",0.023,"mg/L",1,"12/31/2007"
"33","WI4380755",0.0496,"mg/L",2,"12/31/1993"
