"","PWSID","VIOLATION_CATEGORY_CODE","VIOLATION_STATUS","diff_days","total_violations"
"1","010106001","MCL","Resolved",91.0416666666667,6
"2","010502003","MCL","Resolved",29,3
"3","050595310","TT","Resolved",409,4
"4","055294401","TT","Resolved",1397,111
"5","055294801","MCL","Archived",91.0416666666667,184
"6","055295101","MCL","Resolved",89.9583333333333,2
"7","055295705","MCL","Resolved",30,1
"8","061620001","TT","Resolved",1616.95833333333,3
"9","061800001","TT","Resolved",2975,3
"10","061870043","TT","Resolved",1009,1
"11","062000905","TT","Resolved",1745,1
"12","062001458","TT","Resolved",1211,4
"13","062002156","TT","Resolved",30,17
"14","062004183","TT","Resolved",2989,1
"15","063003614","TT","Resolved",1278.95833333333,2
"16","063500008","TT","Addressed",2912,25
"17","063500108","TT","Resolved",2685.95833333333,3
"18","063500110","MCL","Resolved",91,6
"19","063500116","TT","Resolved",1832,14
"20","063500119","TT","Resolved",2546,31
"21","063500122","TT","Resolved",2486,5
"22","063500123","MCL","Archived",91.0416666666667,6
"23","063500166","TT","Unaddressed",1405,12
"24","063501001","TT","Unaddressed",2107,11
"25","063501109","TT","Resolved",2386.95833333333,4
"26","063501160","TT","Resolved",2417.95833333333,2
"27","063502233","TT","Resolved",2192,13
"28","063503013","TT","Resolved",2500,15
"29","063503107","TT","Resolved",2047.95833333333,4
"30","063503109","TT","Resolved",2386.95833333333,4
"31","063503115","TT","Resolved",2425.95833333333,3
"32","063503118","MCL","Resolved",91.0416666666667,12
"33","063504107","TT","Resolved",2048.95833333333,4
"34","063504118","TT","Resolved",2152,4
"35","063504119","MCL","Resolved",91.0416666666667,9
"36","063506111","TT","Resolved",2545,4
"37","063506114","TT","Resolved",2106,4
"38","063506193","TT","Resolved",309,2
"39","063506233","TT","Resolved",2192,23
"40","063507009","TT","Resolved",2712.95833333333,14
"41","063507011","TT","Resolved",2192,16
"42","063508166","TT","Unaddressed",582.958333333333,2
"43","063509008","TT","Resolved",2192,11
"44","063568423","TT","Resolved",2811,18
"45","070000004","TT","Resolved",1709,7
"46","070000008","TT","Resolved",2135,29
"47","070000017","MCL","Resolved",30,3
"48","080890002","TT","Resolved",1558,5
"49","083090003","TT","Resolved",2129,9
"50","083090004","TT","Resolved",1955.95833333333,5
"51","083090005","TT","Addressed",1955.95833333333,2
"52","083090007","TT","Resolved",1833,3
"53","083090008","TT","Resolved",2439,4
"54","083090009","TT","Resolved",2287,12
