"","PWSID","VIOLATION_CATEGORY_CODE","VIOLATION_STATUS","diff_days","total_violations"
"1","010106001","MCL","Resolved",91,6
"2","010502003","MCL","Resolved",29,3
"3","050595310","TT","Resolved",409,4
"4","055294401","TT","Resolved",1397,111
"5","055294801","MCL","Archived",91,184
"6","055295101","MCL","Resolved",90,2
"7","055295705","MCL","Resolved",30,1
"8","061620001","TT","Resolved",1617,3
"9","061800001","TT","Resolved",2975,3
"10","061870043","TT","Resolved",1009,1
"11","062000905","TT","Resolved",1745,1
"12","062001458","TT","Resolved",1211,4
"13","062002156","TT","Resolved",30,17
"14","062004183","TT","Resolved",2989,1
"15","063003614","TT","Resolved",1279,2
"16","063006122","MCL","Archived",91,13
"17","063500008","TT","Addressed",2912,25
"18","063500108","TT","Resolved",2686,3
"19","063500110","MCL","Resolved",91,6
"20","063500116","TT","Resolved",1832,14
"21","063500119","TT","Resolved",2546,31
"22","063500122","TT","Resolved",2486,5
"23","063500123","MCL","Archived",91,6
"24","063500166","TT","Unaddressed",1405,12
"25","063501001","TT","Unaddressed",2107,11
"26","063501109","TT","Resolved",2387,4
"27","063501124","MCL","Archived",91,6
"28","063501160","TT","Resolved",2418,2
"29","063502233","TT","Resolved",2192,13
"30","063503013","TT","Resolved",2500,15
"31","063503107","TT","Resolved",2048,4
"32","063503109","TT","Resolved",2387,4
"33","063503115","TT","Resolved",2426,3
"34","063503118","MCL","Resolved",91,12
"35","063504107","TT","Resolved",2049,4
"36","063504118","TT","Resolved",2152,4
"37","063504119","MCL","Resolved",91,9
"38","063506111","TT","Resolved",2545,4
"39","063506114","TT","Resolved",2106,4
"40","063506193","TT","Resolved",309,2
"41","063506233","TT","Resolved",2192,23
"42","063507009","TT","Resolved",2713,14
"43","063507011","TT","Resolved",2192,16
"44","063508166","TT","Unaddressed",583,2
"45","063509008","TT","Resolved",2192,11
"46","063568423","TT","Resolved",2811,18
"47","070000004","TT","Resolved",1709,7
"48","070000008","TT","Resolved",2135,29
"49","070000017","MCL","Resolved",30,3
"50","080890002","TT","Resolved",1558,5
"51","083090003","TT","Resolved",2129,9
"52","083090004","TT","Resolved",1956,5
"53","083090005","TT","Addressed",1956,2
"54","083090007","TT","Resolved",1833,3
"55","083090008","TT","Resolved",2439,4
"56","083090009","TT","Resolved",2287,12
"57","083090012","TT","Addressed",1708,2
"58","083090014","TT","Resolved",1708,6
"59","083090016","TT","Resolved",2595,1
"60","083090023","MCL","Resolved",91,3
"61","083090027","MCL","Resolved",30,7
"62","083090032","MCL","Resolved",29,3
"63","083090033","MCL","Resolved",29,3
"64","083090034","TT","Resolved",2576,2
"65","083090037","TT","Resolved",1835,1
"66","083090041","MCL","Resolved",91,127
"67","083090044","TT","Resolved",1465,1
"68","083090050","TT","Resolved",90,1
"69","083090053","TT","Resolved",2610,1
"70","083090061","TT","Resolved",797,1
"71","083090063","TT","Resolved",2389,3
"72","083090067","TT","Resolved",2557,5
"73","083090075","TT","Resolved",2179,2
"74","083090091","TT","Resolved",2969,4
"75","083090094","TT","Resolved",1497,1
"76","083090098","TT","Addressed",1129,3
"77","083090301","TT","Resolved",1834,1
"78","083090309","TT","Resolved",2051,2
"79","083890002","MCL","Resolved",91,6
"80","083890003","MCL","Resolved",91,11
"81","083890015","MCL","Resolved",91,6
"82","083890017","MCL","Resolved",91,1
"83","083890023","MCL","Resolved",89,2
"84","083890030","MCL","Resolved",91,18
"85","083890036","TT","Resolved",1528,2
"86","083890037","TT","Resolved",1162,2
"87","084690020","TT","Resolved",2836,3
"88","084690029","MCL","Resolved",91,8
"89","084690440","TT","Resolved",302,1
"90","084690441","MCL","Resolved",90,1
"91","084690467","TT","Resolved",2974,2
"92","084690468","TT","Resolved",1674,1
"93","084690480","TT","Resolved",1283,1
"94","084690483","TT","Resolved",2197,1
"95","084690512","TT","Resolved",1273,1
"96","084690516","MCL","Resolved",29,1
"97","084990003","TT","Resolved",2033,3
"98","084990006","TT","Resolved",3002,7
"99","085690002","TT","Resolved",1832,8
"100","085690004","TT","Resolved",2508,1
"101","085690008","TT","Resolved",2509,3
"102","090400030","MCL","Resolved",90,1
"103","090400034","MCL","Resolved",91,3
"104","090400049","MCL","Resolved",29,1
"105","090400051","TT","Resolved",1192,5
"106","090400054","TT","Resolved",1499,1
"107","090400057","MCL","Resolved",91,7
"108","090400060","MCL","Resolved",30,1
"109","090400088","MCL","Resolved",91,11
"110","090400090","TT","Resolved",30,1
"111","090400101","TT","Resolved",1741,1
"112","090400106","MCL","Archived",91,32
"113","090400107","MCL","Resolved",91,59
"114","090400217","TT","Resolved",1343,1
"115","090400218","MCL","Resolved",91,3
"116","090400220","MCL","Resolved",30,1
"117","090400237","MCL","Archived",91,14
"118","090400259","MCL","Archived",91,32
"119","090400260","TT","Resolved",1680,61
