pwsid,arsenic
010106001,.00029285715
010307001,0
010502002,0
010502003,0
020000001,0
020000004,.00050000002
020000005,0
020000012,0
020000015,0
020000016,0
020011102,.00050000002
040000002,0
040000002 ,0
041200001,.000024300001
041200001 ,0
041200002,.00013
041200002 ,0
041200003,.00043499999
041200003 ,0
041200004,.00028850001
041200004 ,0
041210001,0
041210001 ,0
041210003,.0026499999
041210003 ,0
042800001,0
042800001 ,0
042800002,0
042800002 ,0
042800003,0
042800003 ,0
042800004,0
042800004 ,0
042800005 ,0
043700032 ,0
043700056,0
043700056 ,0
043740039,0
043740039 ,0
043740043,0
043740043 ,0
043740054,0
050593105,.0020000001
050593105 ,0
050593203,0
050593303,0
050593303 ,0
050593401,.00086666667
050593401 ,0
050593403,.0019999999
050593403 ,0
050593405,.0011666666
050593405 ,0
050593609,0
050593609 ,0
050593702 ,0
050593710,0
050593710 ,0
050593801,0
050593801 ,0
050593803,0
050593803 ,0
050593804,0
050593805,.30000001
050593910,6.0000002e-06
050594204,.0014
050594204 ,0
050594208 ,0
050594210,0
050594210 ,0
050594212,0
050594212 ,0
050594214,.0012000001
050594214 ,0
050594218 ,0
050594220,.0023000001
050594221,0
050594222,0
050594602,0
050594602 ,0
050594703 ,0
050594709 ,0
050595018,0
050595018 ,0
050595205 ,0
050595305,.0019333333
050595305 ,0
050595307,.0017333333
050595307 ,0
050595308 ,0
050595911 ,0
050595920,.0020999999
050595920 ,0
055293101,.0015
055293101 ,0
055293201,0
055293201 ,0
055293302,0
055293302 ,0
055293303,0
055293303 ,0
055293304,0
055293401,.00017
055293401 ,0
055293501,.0024000001
055293501 ,0
055293502,0
055293502 ,0
055293504,0
055293504 ,0
055293505,0
055293505 ,0
055293601,0
055293601 ,0
055293603,0
055293603 ,0
055293610,0
055293610 ,0
055293611,0
055293702,0
055293801,0
055293801 ,0
055293802,0
055293802 ,0
055293901,0
055294101,.000094999996
055294101 ,0
055294201,.0035333333
055294201 ,0
055294202,0
055294202 ,0
055294203 ,0
055294204,.0061516669
055294204 ,0
055294205,0
055294205 ,0
055294207,.003425
055294207 ,0
055294208,0
055294208 ,0
055294211 ,0
055294214,0
055294214 ,0
055294301,0
055294301 ,0
055294304,.00125
055294304 ,0
055294401,.00056666665
055294401 ,0
055294402,.0085700005
055294402 ,0
055294403 ,0
055294404,.000795
055294404 ,0
055294405,.0017833334
055294405 ,0
055294501,0
055294501 ,0
055294502,0
055294502 ,0
055294503,0
055294503 ,0
055294506,0
055294506 ,0
055294602,.0088600004
055294602 ,0
055294603,0
055294603 ,0
055294604 ,0
055294701,0
055294701 ,0
055294702,0
055294702 ,0
055294703,0
055294703 ,0
055294704,0
055294704 ,0
055294705,0
055294705 ,0
055294708,.025700001
055294708 ,0
055294801,.0036000002
055294801 ,0
055294802,.00033333333
055294802 ,0
055294803,.00346
055294803 ,0
055294901 ,0
055294902,.00050000002
055295001 ,0
055295003,0
055295011,0
055295011 ,0
055295012,0
055295012 ,0
055295013,.00075000001
055295013 ,0
055295015,0
055295015 ,0
055295016,.00065
055295016 ,0
055295101,0
055295101 ,0
055295102,.0044999998
055295102 ,0
055295103,.0049000001
055295103 ,0
055295104,.0041333335
055295104 ,0
055295201,.0010500001
055295201 ,0
055295205,.0014666667
055295205 ,0
055295206 ,0
055295207,.0022
055295301,.00031
055295301 ,0
055295302 ,0
055295310,.0012333333
055295310 ,0
055295401,.00069999998
055295401 ,0
055295405 ,0
055295501 ,0
055295503 ,0
055295504,.0070500001
055295504 ,0
055295505,0
055295505 ,0
055295507,.00185
055295507 ,0
055295508,.0020333333
055295508 ,0
055295509,.0011999999
055295509 ,0
055295510,.00073500001
055295601 ,0
055295703,.00012
055295703 ,0
055295704,.00016666666
055295704 ,0
055295705,.000081000006
055295705 ,0
055295706,.00015000001
055295706 ,0
055295802,.0016
055295802 ,0
055295901,0
055295901 ,0
055295902,.0017500001
055295902 ,0
061000101,0
061000102,0
061020808,0
061870043,0
061870124,0
062000905,0
062001458,0
062002156,0
062004108,0
062004183,0
062004193,0
062004336,0
062005883,0
063003614,0
063500006,0
063500007,0
063500008,0
063500110,.0078567564
063500113,0
063500114,.0030333335
063500116,.0046999999
063500119,.0048746271
063500120,.0011999999
063500122,.0010200001
063500123,.0164
063500166,.0034
063500191,0
063501001,.0011857143
063501100,.0078999996
063501109,.005932787
063501116,.01051
063501117,.001425
063501122,.0044
063501123,.0154
063501124,.00942
063501133,.0027000001
063501160,.0047999998
063501233,0
063502084,.0051571429
063502233,0
063503013,0
063503107,.00085000001
063503109,.0055333334
063503115,.0031000001
063503117,.0037
063503118,.0087839998
063503124,.0023000001
063503233,0
063504107,.0012000001
063504118,.0086767441
063504119,.0047742859
063506008,0
063506111,.00039999999
063506114,.0076322579
063506166,.0019863013
063506193,.0037
063507009,0
063507011,0
063508109,.00065
063509008,0
064020001,0
064026001,.0063
070000002,.0015
070000003,0
070000004,0
070000005,0
070000007,0
070000008,.00055
070000014,.016265715
070000017,.0057699997
080890001,0
080890001 ,0
083090002,0
083090002 ,0
083090003,.001
083090004,0
083090005,0
083090007,0
083090009,0
083090009 ,0
083090011,0
083090011 ,0
083090012,0
083090012 ,0
083090014,0
083090014 ,0
083090016,0
083090016 ,0
083090021,0
083090021 ,0
083090022,0
083090022 ,0
083090023,.0081774192
083090023 ,0
083090024,.0020000001
083090024 ,0
083090025,.001
083090025 ,0
083090026,0
083090026 ,0
083090027,0
083090027 ,0
083090028,0
083090028 ,0
083090029,.001
083090029 ,0
083090030,0
