"pwsid","tthm","haa5","combined_dbp"
"AL0000028",0.501,0,0.501
"AL0000002",4.06272727272727,4.38428571428571,8.44701298701299
"AL0000013",11.11625,5.86375,16.98
"AL0000017",11.1148734177215,2.55315789473684,13.6680313124584
"AL0000035",1.30014285714286,0.508,1.80814285714286
"AL0000038",2.08361445783133,0.412166666666667,2.49578112449799
"AL0000048",0.465714285714286,0.744444444444444,1.21015873015873
"AL0000068",39.9193058394161,28.8951527777778,68.8144586171938
"AL0000076",1.4,1.85714285714286,3.25714285714286
"AL0000093",0,1.7,1.7
"AL0000097",0.673636363636364,0.0941666666666667,0.76780303030303
"AL0000101",12.1932710280374,6.24324324324324,18.4365142712806
"AL0000103",26.805504587156,12.1479338842975,38.9534384714535
"AL0000131",1.77763513513514,0.422258064516129,2.19989319965126
"AL0000133",7.64565789473684,5.11789361702128,12.7635515117581
"AL0000154",4.10775862068965,1.74468085106383,5.85243947175348
"AL0000162",2.47322368421053,1.243,3.71622368421053
"AL0000168",0.1,0,0.1
"AL0000219",1.20358490566038,1.15771428571429,2.36129919137466
"AL0000250",10.6180582524272,NA,NA
"AL0000257",29.1288198757764,4.83590909090909,33.9647289666855
"AL0000296",2.62222222222222,0.0869565217391304,2.70917874396135
"AL0000308",59.2522727272727,NA,NA
"AL0000314",37.1113901515152,26.552380952381,63.6637711038961
"AL0000361",12.7590445859873,2.11196721311475,14.871011799102
"AL0000506",36.0666666666667,34.4016949152542,70.4683615819209
"AL0000520",43.2851851851852,NA,NA
"AL0000535",14.1723529411765,5.78052631578947,19.9528792569659
"AL0000549",32.5130630630631,16.0864788732394,48.5995419363025
"AL0000582",9.00775862068966,2.152,11.1597586206897
"AL0000591",1.35473282442748,0.174117647058824,1.5288504714863
"AL0000607",5.99083333333333,2.3856,8.37643333333333
"AL0000713",42.7386861313869,26.9320588235294,69.6707449549163
"AL0000725",45.3632,NA,NA
"AL0000753",2.82,0.888888888888889,3.70888888888889
"AL0000771",37.204128440367,50.4190476190476,87.6231760594146
"AL0000788",1.87609756097561,1.58,3.45609756097561
"AL0000833",36.1304376367615,34.7993962264151,70.9298338631766
"AL0000865",24.3267708333333,36.7251851851852,61.0519560185185
"AL0000867",33.2743930635838,23.185987012987,56.4603800765708
"AL0000878",2.58040697674419,1.36234,3.94274697674419
"AL0000882",27.9281464174455,21.4383632075472,49.3665096249927
"AL0000888",32.1365346534653,35.0775,67.2140346534653
"AL0000903",1.89494615384615,NA,NA
"AL0000930",42.0715602836879,23.1362903225806,65.2078506062686
"AL0000967",17.5779310344828,9.6152380952381,27.1931691297209
"AL0001005",40.5309437751004,20.5766153846154,61.1075591597158
"AL0001015",64.8307014925373,30.01,94.8407014925373
"AL0001021",0.921315789473684,0.163809523809524,1.08512531328321
"AL0001056",2.08210526315789,1.08,3.16210526315789
"AL0001070",26.9632655502392,16.6977430555556,43.6610086057948
"AL0001073",11.5429824561404,2.06623076923077,13.6092132253711
"AL0001132",6.98478260869565,5.73333333333333,12.718115942029
"AL0001137",17.0321487603306,2.46319444444444,19.495343204775
"AL0001145",38.1421014005602,17.6382105263158,55.780311926876
"AL0001149",1.58095238095238,0.558823529411765,2.13977591036415
"AL0001150",7.9510071942446,5.34298850574713,13.2939956999917
"AL0001156",6.85,0.875,7.725
"AL0001157",36.7230625,25.4825757575758,62.2056382575758
"AL0001159",1.8,0,1.8
"AL0001163",37.0981132075472,26.0095238095238,63.107637017071
"AL0001164",44.2872549019608,18.9325,63.2197549019608
"AL0001208",9.62,8.21818181818182,17.8381818181818
"AL0001217",0.570588235294118,0.255,0.825588235294118
"AL0001219",1.63571428571429,0.450606060606061,2.08632034632035
"AL0001222",11.1037948717949,0.773548387096774,11.8773432588916
"AL0001223",49.3959183673469,0.37,49.7659183673469
"AL0001228",0.9,1.66666666666667,2.56666666666667
"AL0001236",2.84666666666667,1.16363636363636,4.01030303030303
"AL0001250",31.9098765432099,32.875,64.7848765432099
"AL0001258",26.7295364238411,16.8057142857143,43.5352507095553
"AL0001260",19.5380281690141,18.6378048780488,38.1758330470629
"AL0001302",62.2090909090909,32.0666666666667,94.2757575757576
"AL0001307",42.8067222222222,33.5723076923077,76.3790299145299
"AL0001324",39.4585217391304,17.3423076923077,56.8008294314381
"AL0001422",33.9494662068966,18.2269756097561,52.1764418166527
"AL0001423",41.2221111111111,19.7183870967742,60.9404982078853
"AL0001439",40.9343820224719,11.398,52.3323820224719
"AL0001489",6.55777777777778,0.914166666666667,7.47194444444444
"AL0001500",25.02215,16.4067326732673,41.4288826732673
"AL0001507",37.7081927710843,4.77539682539683,42.4835895964812
"AL0001509",2.09272727272727,2.22375,4.31647727272727
"AL0001756",7.33083333333333,NA,NA
"AL0001761",32.2711961685824,8.48637931034483,40.7575754789272
"AL0001783",4.00837606837607,1.36666666666667,5.37504273504273
"AL0001798",2.00909090909091,0.2,2.20909090909091
"NC0279108",0,0,0
"NC0113106",4.59090909090909,NA,NA
"NC0106114",0.388888888888889,1.8,2.18888888888889
"NC0201404",0.38,0.22,0.6
"NC0106121",0,0,0
"NC0113158",0.8,0,0.8
"NC0235127",2.35,0,2.35
"NC0416028",34.943661971831,15.6,50.543661971831
"NC0136519",0,0,0
"NC0241533",1.3,1.1,2.4
"NC0120025",0,0,0
"NC0111446",0.166666666666667,2,2.16666666666667
"NC1045015",0.142857142857143,0,0.142857142857143
"NC0392340",0.25,0,0.25
"NC0235109",2.66666666666667,11.75,14.4166666666667
"NC0428010",44.5790666666667,12.7571428571429,57.3362095238095
"NC0392084",2.84,0,2.84
"NC0145149",0,0,0
"NC0363108",16.8282222222222,21.0735294117647,37.9017516339869
"NC0241196",0,0,0
"NC0149165",0.666666666666667,0,0.666666666666667
"NC0188560",0,NA,NA
"NC0145175",0,NA,NA
"NC0392102",0,0,0
"NC0431040",6.93354545454545,1.6,8.53354545454545
"NC0285430",0,6.5,6.5
"NC0150171",0.633333333333333,0.26,0.893333333333333
"NC0157143",0.568421052631579,0,0.568421052631579
"NC0299025",18.2052631578947,13.9294117647059,32.1346749226006
"NC0326341",7.96,12.85,20.81
"NC3099024",0,NA,NA
"NC0150192",0,1,1
"NC0425035",60.7459016393443,40.1449275362319,100.890829175576
"NC0201527",0,NA,NA
"NC0299020",0.158823529411765,0.583333333333333,0.742156862745098
"NC0241145",0,0,0
"NC0144113",0,0,0
"NC3041022",0,0.866666666666667,0.866666666666667
"NC0150193",0,0,0
"NC0319133",0.666666666666667,0.5,1.16666666666667
"NC0149184",0,0,0
"NC0363479",1.375,0,1.375
"NC0276205",0,0,0
"NC0424055",21.44,0,21.44
"NC0239462",0,0,0
"NC0378040",1.51111111111111,0.326666666666667,1.83777777777778
"AR0000116",12.5051282051282,10.9461538461538,23.451282051282
"AR0000184",2.91764705882353,1.68823529411765,4.60588235294118
"AR0000276",0.94,1.26666666666667,2.20666666666667
"AR0000315",8.28333333333333,3.76666666666667,12.05
"AR0000338",24.4666666666667,4.87446808510638,29.341134751773
"AR0000375",2.52,3.2,5.72
"AR0000493",30.1509259259259,5.21617647058823,35.3671023965142
"AR0000517",1.98571428571429,0.575,2.56071428571429
"AR0000688",5.46521739130435,2.91111111111111,8.37632850241546
"AR0000747",0,5.65,5.65
"AR0000825",38.79,10.6,49.39
"ARN000241",0,0.55,0.55
"AR0000003",4.80980392156863,2.37027027027027,7.1800741918389
"AR0000005",0,1.43333333333333,1.43333333333333
"AR0000064",0,0.0833333333333333,0.0833333333333333
"AR0000068",4.2,0,4.2
"AR0000093",0,0,0
"ID1090124",0,NA,NA
"ID1110008",0,NA,NA
"ID1280085",22.65,16.425,39.075
"ID1280152",0,0,0
"ID2250065",7.1225,1.585,8.7075
"ID2290023",1.11151515151515,0.0473076923076923,1.15882284382284
"ID2350024",3.47,0.664,4.134
"ID3140013",0.376,0.231111111111111,0.607111111111111
"ID3440002",0,NA,NA
"ID4010016",18.1702380952381,19.5366917293233,37.7069298245614
"ID4010022",0,NA,NA
"ID4010066",1.7052380952381,0,1.7052380952381
"ID4010097",2.34557823129252,1.54328947368421,3.88886770497673
"ID4010124",0.00105,NA,NA
"ID4200031",0,0,0
"ID4200032",0.903970588235294,0,0.903970588235294
"ID5070022",0.573888888888889,0.272727272727273,0.846616161616162
"ID5070026",0,0,0
"ID5070051",2.34529411764706,0.151428571428571,2.49672268907563
"ID5340007",0.436,NA,NA
"ID5420030",17.4044444444444,1.494,18.8984444444444
"ID7100022",0,NA,NA
"ID7190013",11.6571428571429,17.8,29.4571428571429
"ID5240040",0.125,0,0.125
"CT0580021",8.27333333333333,4.2,12.4733333333333
"ME0090110",6.79084507042254,18.4257142857143,25.2165593561368
"ME0090380",3.58,0,3.58
"ME0090650",2.7,0,2.7
"ME0090910",0,0,0
"ME0091300",0.709459459459459,6.22931034482759,6.93876980428705
"ME0091540",0,0,0
"ME0095663",0,1.3,1.3
"ME0094695",0.2,NA,NA
"NM3590426",0,NA,NA
"NM3515007",0,NA,NA
"NM3506329",0.175,NA,NA
"NM3566628",9.912,NA,NA
"NM3511201",0.675,NA,NA
"NM3551801",0,NA,NA
"NM3501232",0,NA,NA
"NM3502023",0,NA,NA
"NY0801745",26.0912121212121,12.4206611570248,38.5118732782369
"NY1000244",2.47,0,2.47
"NY1302773",4.14,1.75,5.89
"NY1302778",2.9472,1.04,3.9872
"NY1302805",23.5235294117647,16.2275,39.7510294117647
"NY2111848",1.16666666666667,0,1.16666666666667
"NY4100037",5.82,1.58944444444444,7.40944444444444
"NY2902822",0.0040625,0,0.0040625
"NY2902824",0.00741035856573705,NA,NA
"NY2902825",0,NA,NA
"NY2902827",0.0175,NA,NA
"NY2902829",0.0217391304347826,0,0.0217391304347826
"NY2902830",0.9834375,1.02777777777778,2.01121527777778
"NY2902836",0.0190641711229947,0.45,0.469064171122995
"NY2902839",0,NA,NA
"NY2902845",0.0803814713896458,0,0.0803814713896458
"NY2902851",0.0709473684210526,0,0.0709473684210526
"NY2902854",0.0400746268656716,0,0.0400746268656716
"NY2902857",0.085625,0,0.085625
"NY0310332",0,0.91,0.91
"NY4303018",1.33142857142857,0,1.33142857142857
"NY4303673",34.0612752721617,28.1287958115183,62.1900710836801
"NY4404392",24.6514285714286,10.74,35.3914285714286
"NY4500164",2.99166666666667,0.877777777777778,3.86944444444444
"NY4519642",0,1.7,1.7
"NY0910830",2.05,2.55,4.6
"NY1320803",2.99790909090909,0,2.99790909090909
"NY1321410",1.66666666666667,9.5,11.1666666666667
"NY1500287",67.0059375,41.7431578947368,108.749095394737
"NY4600071",5.99,0.9259,6.9159
"NY2902815",0.0431417624521073,0,0.0431417624521073
"NY2902817",0.00164179104477612,NA,NA
"NY2912267",0.0957894736842105,NA,NA
"NY3503566",6.313,3.5,9.813
"NY5305670",6.16833333333333,4.52375,10.6920833333333
"NY5501275",22.1714285714286,14.9428571428571,37.1142857142857
"NY5510733",3.418,0,3.418
"NY5603495",0,0,0
"NY1330311",0,0,0
"NY1330454",0,0,0
"SC4050031",0,0,0
"SC4650008",30.95,18.56,49.51
"SC0210001",28.3454882154882,18.3539814814815,46.6994696969697
"SC0220012",7.07142857142857,0.32,7.39142857142857
"SC0230501",3.02444444444444,0.30125,3.32569444444444
"SC1450009",10.95,3.83,14.78
"SC1470001",0,0.203333333333333,0.203333333333333
"SC2020002",8.41933333333333,1.87743333333333,10.2967666666667
"SC2110001",23.891589347079,12.4118179856115,36.3034073326905
"SC2310001",10.2497358490566,11.1128,21.3625358490566
"SC2660049",30.4066666666667,17.875,48.2816666666667
"SC3250042",0,0,0
"SC3410001",21.5768023255814,23.9747545454545,45.5515568710359
"SC3410003",1.20562,1.50658,2.7122
"UTAH18021",20.4,10.2736842105263,30.6736842105263
"UTAH23039",0.15,0,0.15
"VT0005539",2.81724137931035,1.425,4.24224137931034
"WV3305539",29.3714285714286,NA,NA
"WV3302460",5.01444444444444,3.75,8.76444444444444
"WV3303301",8.32352941176471,3.7,12.0235294117647
"WV9919037",0.675,1.35,2.025
"WY5600140",0.224444444444444,0.0975,0.321944444444444
"WY5601475",33.45,1.43,34.88
"042800001",0.686666666666667,NA,NA
"043740043",0.732,NA,NA
"055293610",0.857142857142857,NA,NA
"055294803",10.7333333333333,12.2,22.9333333333333
"055295703",4.66666666666667,1.804,6.47066666666667
"FL1070116",3.12,0.9,4.02
"FL1170527",1.8925,0.105454545454545,1.99795454545455
"FL1324245",0,NA,NA
"FL1370393",8.3914705882353,4.89705882352941,13.2885294117647
"FL1460147",2.60148148148148,1.3988,4.00028148148148
"FL1460182",2.66342105263158,3.40545454545455,6.06887559808612
"FL1570146",1.08555555555556,0.159473684210526,1.24502923976608
"FL3491946",2.405,7.88,10.285
"FL1570671",0.397659574468085,0,0.397659574468085
"FL2014203",0.08,0.82,0.9
"FL4060642",16.2033734939759,10.8777777777778,27.0811512717537
"FL4500105",29.0708333333333,NA,NA
"FL4501911",51.1545833333333,NA,NA
"FL4505005",3.78744117647059,1.18458333333333,4.97202450980392
"FL5364048",12.7234545454545,11.3080882352941,24.0315427807487
"FL6091399",0.345,NA,NA
"FL6277059",6.41520408163265,3.72368421052632,10.138888292159
"FL6291213",13.988,16.3866666666667,30.3746666666667
"FL6291276",0.346666666666667,0,0.346666666666667
"FL2124412",0.96,9.75,10.71
"FL2160375",32.2642857142857,2.18,34.4442857142857
"FL2454296",1.4,1.48666666666667,2.88666666666667
"FL2611239",0.622571428571429,10.06,10.6825714285714
"FL3054057",99.0727272727273,NA,NA
"FL3424826",2.04,NA,NA
"FL6291874",0,NA,NA
"FL6292159",0.16,NA,NA
"FL6296117",21.8585714285714,14.005,35.8635714285714
"FL6510389",0.843333333333333,0,0.843333333333333
"FL6512004",0.8625,0,0.8625
"FL6530692",8.93076923076923,1.65714285714286,10.5879120879121
"FL6531305",17.67625,5.144,22.82025
"FL6535026",11.275,6.02666666666667,17.3016666666667
"FL6535113",4.91166666666667,0,4.91166666666667
"SD4601000",1.55666666666667,0,1.55666666666667
"SD4602135",0,0,0
"PA3060069",8.95153846153846,3.08358208955224,12.0351205510907
"PA4550024",0,0,0
"PA7280032",41.1484848484848,30.9106557377049,72.0591405861898
"TN0000511",54.4052631578947,26.5608695652174,80.9661327231121
"TN0000530",58.7025641025641,30.1647058823529,88.867269984917
"TN0000875",63.136,63.1518518518519,126.287851851852
"UTAH29023",20.26390625,11.392,31.65590625
"ID1110007",0,0,0
"NY0930183",13.85,NA,NA
"FL2540225",0,NA,NA
"FL6535433",54.67,4.72,59.39
"NY4501780",0,0,0
"FL6277100",0.66,3.4,4.06
"FL6424673",4.00666666666667,2.045,6.05166666666667
"NC7024020",0,5.3,5.3
"SC1070916",0.62,2.754,3.374
"ID1050004",0,NA,NA
"ID1090243",0,NA,NA
