pwsid,haa5,tthm,tthm_alt,haa5_alt,combined_dbp
010106001,15.352632,64.871002,,,80.223633
010109005,36.91,66.119049,,,103.02905
020000001,,0,,,0
020000004,0,,,,0
020000005,10.333333,22.125,,,32.458332
020000008,2,,,,2
020000015,,43,,,43
040000002,40.799999,,,,40.799999
041200001,14.912,,,,14.912
041200002,,123,,,123
041200003,135.7,136.14,,,271.84
041200004,5.23,5.8600001,,,11.09
041210001,17.566668,,,,17.566668
041210003,,37.799999,,,37.799999
042800001,0,0,,,0
042800002,0,2.45,,,2.45
042800003,,4.1300001,,,4.1300001
042800004,0,0,,,0
042800005,4.3499999,,,,4.3499999
043700056,2.3714285,3,,,5.3714285
043740039,25.559999,28.32,,,53.879997
043740043,.80000001,1.122,,,1.9219999
050593202,,41,,,41
050593203,14,,,,14
050593609,0,0,,,0
050593702,,1.15,,,1.15
050593710,3.8499999,,,,3.8499999
050593801,,5,,,5
050593803,4.8000002,8.8999996,,,13.7
050594204,1,,,,1
050594210,,18.299999,,,18.299999
050594218,,2.0999999,,,2.0999999
055293101,.001,1.5,,,1.501
055293201,2.25,16.833334,,,19.083334
055293302,19.542856,46.5,,,66.042854
055293303,19.299999,,,,19.299999
055293401,4,9.1999998,,,13.2
055293501,8.3000002,10.7,,,19
055293502,0,0,,,0
055293504,1.45,,,,1.45
055293601,3,,,,3
055293603,,4.75,,,4.75
055293610,,0,,,0
055293611,0,.60000002,,,.60000002
055293702,2,6.5500002,,,8.5500002
055294101,,14.2,,,14.2
055294201,,0,,,0
055294203,7.4000001,,,,7.4000001
055294204,,2,,,2
055294205,0,2.0999999,,,2.0999999
055294214,1.2,,,,1.2
055294301,34.424999,25.549999,,,59.974998
055294401,16.85,47.849998,,,64.699997
055294402,11.65,26.15,,,37.799999
055294403,0,,,,0
055294404,32.049999,40.200001,,,72.25
055294501,2,,,,2
055294502,,1.255,,,1.255
055294503,3.5999999,1.1,,,4.6999998
055294506,2,4,,,6
055294701,0,.39500001,,,.39500001
055294702,.248,,,,.248
055294703,,0,,,0
055294704,,13,,,13
055294705,.79500002,,,,.79500002
055294708,,1.4400001,,,1.4400001
055294801,76.366669,231,,,307.36667
055294802,,35.700001,,,35.700001
055294803,8.1333332,5.5999999,,,13.733334
055295001,,0,,,0
055295003,8.3999996,15.2,,,23.599998
055295011,.44,7.1633334,,,7.6033335
055295012,1.35,2.71,,,4.0599999
055295013,2.3,2.8,,,5.0999999
055295015,13.6,,,,13.6
055295016,1.6,1.855,,,3.4549999
055295102,3.9666667,,,,3.9666667
055295103,2.4000001,,,,2.4000001
055295104,.44,0,,,.44
055295201,0,3.9000001,,,3.9000001
055295205,.79333335,3.7,,,4.4933333
055295206,,1.05,,,1.05
055295207,,2.5999999,,,2.5999999
055295301,,4.3000002,,,4.3000002
055295302,,0,,,0
055295310,,0,,,0
055295401,4.9499998,10.366667,,,15.316667
055295405,,4.9499998,,,4.9499998
055295501,,3.4000001,,,3.4000001
055295503,0,0,,,0
055295505,0,.48500001,,,.48500001
055295507,0,,,,0
055295508,1.415,2.9000001,,,4.3150001
055295509,,3,,,3
055295510,3.5999999,4.0349998,,,7.6349998
055295601,.61400002,4.6500001,,,5.2639999
055295703,0,7,,,7
055295704,5.9000001,16.1,,,22
055295706,5.8000002,,,,5.8000002
055295901,,0,,,0
055295902,,7.5999999,,,7.5999999
061000101,1.35,,,1.35,1.35
061000102,,2.325,2.325,,2.325
061020808,7.3533335,40.799999,14.465,1.485,48.153332
061620001,15.28,38.299999,48.075836,15.065,53.579998
061620002,6.2033334,41.239998,41.239998,1.13,47.443333
061800001,13.3125,38.480003,38.480003,13.3125,51.792503
061870043,1,13.440001,13.440001,1,14.440001
061870124,2,32,,2,34
062000905,8.46,18.243332,18.243332,,26.703331
062001458,1.11,2.4400001,,1.11,3.5500002
062002156,,5.0799999,4.6599998,,5.0799999
062004108,1.22,7.7950001,7.7950001,1.22,9.0150003
062004183,5.3800001,11.055,11.055,5.3800001,16.435001
062004193,9.0799999,22.9,17.408333,,31.98
062004336,0,5.0999999,5.0999999,,5.0999999
062005838,.53333336,.66000003,.66000003,,1.1933334
062005840,3.7249999,2.8,2.8,3.7249999,6.5249996
062005883,,1.1799999,1.1799999,,1.1799999
063006122,35.209999,89.845451,67.472572,35.049999,125.05545
063500006,37.066666,27.120001,21.009998,21.481667,64.186668
063500007,,,,,
063500008,,4.79,4.79,,4.79
063500108,,,,,
063500110,10.126,76.23333,47.9375,8.6283331,86.359329
