pwsid,haa5,haa5_syr3,haa5_syr4,tthm,tthm_syr3,tthm_syr4,combined_dbp,combined_dbp_syr3,combined_dbp_syr4
010106001,15.352632,17.088888,13.79,64.871002,66.428574,64.03231,80.223633,83.517464,77.822311
010109005,36.91,35.285713,37.784615,66.119049,61.122223,69.866669,103.02905,96.407936,107.65128
020000001,0,0,0,0,0,0,0,0,0
020000004,0,0,0,0,0,0,0,0,0
020000005,10.333333,0,10.333333,22.125,0,22.125,32.458332,0,32.458332
020000008,2,0,2,0,0,0,2,0,2
020000015,0,0,0,43,0,43,43,0,43
040000002,40.799999,40.799999,0,0,0,0,40.799999,40.799999,0
041200001,14.912,14.912,0,0,0,0,14.912,14.912,0
041200002,0,0,0,123,123,0,123,123,0
041200003,135.7,135.7,0,136.14,136.14,0,271.84,271.84,0
041200004,5.23,5.23,0,5.8600001,5.8600001,0,11.09,11.09,0
041210001,17.566668,17.566668,0,0,0,0,17.566668,17.566668,0
041210003,0,0,0,37.799999,37.799999,0,37.799999,37.799999,0
042800001,0,0,0,0,0,0,0,0,0
042800002,0,0,0,2.45,2.45,0,2.45,2.45,0
042800003,0,0,0,4.1300001,4.1300001,0,4.1300001,4.1300001,0
042800004,0,0,0,0,0,0,0,0,0
042800005,4.3499999,4.3499999,0,0,0,0,4.3499999,4.3499999,0
043700056,2.3714285,2.3714285,0,3,3,0,5.3714285,5.3714285,0
043740039,25.559999,25.559999,0,28.32,28.32,0,53.879997,53.879997,0
043740043,.80000001,.80000001,0,1.122,1.122,0,1.9219999,1.9219999,0
050593202,0,0,0,41,0,41,41,0,41
050593203,14,0,14,0,0,0,14,0,14
050593609,0,0,0,0,0,0,0,0,0
050593702,0,0,0,1.15,1.15,0,1.15,1.15,0
050593710,3.8499999,0,3.8499999,0,0,0,3.8499999,0,3.8499999
050593801,0,0,0,5,5,0,5,5,0
050593803,4.8000002,3,6.5999999,8.8999996,8.8999996,0,13.7,11.9,6.5999999
050594204,1,0,1,0,0,0,1,0,1
050594210,0,0,0,18.299999,0,18.299999,18.299999,0,18.299999
