pwsid,nitrate
010106001,.5195652173913043
010307001,.17
010502002,.156
010502003,.105578947368421
010502004,.0275
020000001,1.06
020000004,2.053333333333333
020000005,.27
020000007,.21675
020000012,4.25
020000015,1.175333333333333
020000016,.0166666666666667
020011102,.6156666666666667
040000002,.4464285714285715
040000002 ,.6225000000000001
041200001,.201875
041200001 ,.1166888888888889
041200002,.116125
041200002 ,.069
041200003,.213625
041200003 ,.8014285714285715
041200004,.0316
041200004 ,.042
041210001,.035125
041210001 ,.2292714285714286
041210003,.089
041210003 ,.03206
042800001,.0685714285714286
042800001 ,.0266666666666667
042800002,.0685714285714286
042800002 ,.0228571428571429
042800003,.0457142857142857
042800003 ,.04
042800004,.0622222222222222
042800004 ,.0228571428571429
042800005 ,.05
043700032 ,.057
043700056,.5664285714285714
043700056 ,.0234
043740008,2.907142857142857
043740008 ,1.45125
043740012,.042875
043740012 ,.0061666666666667
043740013,.18425
043740013 ,.0031666666666667
043740017,.009
043740017 ,0
043740018 ,.0015333333333333
043740020,.04625
043740020 ,.0015333333333333
043740021,.1468571428571429
043740021 ,.013
043740031,.061375
043740031 ,.0028333333333333
043740033,.165
043740033 ,.0488333333333333
043740039,.2300833333333333
043740039 ,.1
043740041,.15125
043740041 ,.0468333333333333
043740043,.0518888888888889
043740043 ,.015
043740045,.21675
043740045 ,.0196666666666667
043740046,.070625
043740046 ,.0146666666666667
043740048,.60875
043740048 ,.1958333333333333
043740050,.5987499999999999
043740050 ,.0738571428571429
043740052,.2095
043740052 ,.0313333333333333
043740054,0
050593105,0
050593105 ,0
050593106 ,0
050593203,.1428571428571428
050593303,.7999999999999999
050593303 ,2.635
050593304 ,0
050593401,0
050593401 ,0
050593403,.4727909090909091
050593403 ,.585
050593404 ,0
050593405,0
050593405 ,0
050593504 ,.8366666666666666
050593609,0
050593609 ,0
050593702 ,2.7
050593710,.0177777777777778
050593710 ,0
050593711,0
050593712,0
050593801,.4942857142857143
050593801 ,.5557142857142858
050593802,0
050593802 ,.27375
050593803,5.73375
050593803 ,4.3625
050593804,0
050593805,0
050593901,0
050593901 ,0
050593910,0
050594204,.6784891666666667
050594204 ,.1833333333333333
050594208 ,.0595652173913044
050594210,1.322
050594210 ,.2029166666666667
050594212,1.274632727272727
050594212 ,2.215
050594214,.8114709090909091
050594214 ,1.083
050594218 ,.2528571428571428
050594220,0
050594221,0
050594222,0
050594503,0
050594504,.06
050594602,0
050594602 ,0
050594703,0
050594703 ,.0057142857142857
050594709 ,.0066666666666667
050595010 ,1.45
050595011 ,0
050595012 ,0
050595017 ,.6466666666666666
050595018,3.011111111111111
050595018 ,3.577777777777778
050595205 ,.268
050595305,.0117777777777778
050595305 ,0
050595307,.0116666666666667
050595307 ,0
050595308 ,1.633333333333334
050595309,0
050595310,.4433333333333333
050595401,.9299999999999999
050595401 ,.4360000000000001
050595512,.0306666666666667
050595512 ,0
050595513,.0085555555555556
050595513 ,0
050595514,1.336666666666667
050595515,1.283333333333333
050595911 ,3.34
050595919,.3675
050595919 ,.198
050595920,.023
050595920 ,.0166666666666667
055293101,0
055293101 ,0
055293201,.0066
055293201 ,0
055293302,.2872727272727272
055293302 ,.1588235294117647
055293303,0
055293303 ,0
055293401,1.27
055293401 ,1.372173913043478
055293501,0
055293501 ,0
055293502,0
055293502 ,0
055293503 ,0
055293504,.1818181818181818
055293504 ,.235
055293505,.0833333333333333
055293505 ,.045
055293601,0
055293601 ,0
055293603,.2207272727272728
055293603 ,.1825
055293610,0
055293610 ,0
055293611,0
055293702,1.222427777777778
055293702 ,1.366666666666666
055293801,1.152397777777778
055293801 ,.7675
055293802,.6325000000000001
055293802 ,.25
055293901,.305
055294101,.2000475
055294101 ,.3487499999999999
055294201,0
055294201 ,.4164285714285714
055294202,.0076923076923077
055294202 ,0
055294203 ,0
055294204,.00625
055294204 ,.0545454545454545
055294205,.0666666666666667
055294205 ,.0846153846153846
055294207,.11875
055294207 ,0
055294208,0
055294208 ,.2646153846153846
055294211 ,.2
055294214,.3671347058823529
055294214 ,.85
055294301,0
055294301 ,0
055294304,0
055294304 ,0
055294401,0
055294401 ,0
055294402,.0133333333333333
055294402 ,0
055294403 ,.0333333333333333
055294404,.24375
055294404 ,.2520000000000001
055294405,0
055294405 ,.06
055294501,.5777777777777778
055294501 ,0
055294502,.0142857142857143
055294502 ,0
055294503,.5083333333333333
055294503 ,0
055294506,.014
055294506 ,.0266666666666667
055294602,0
055294602 ,.018125
055294603,.0115
055294603 ,0
055294604 ,0
055294701,.121625
055294701 ,.45875
055294702,0
055294702 ,.08125
055294703,0
055294703 ,.0042857142857143
055294704,.178875
055294704 ,.23
055294705,.06175
055294705 ,.08
055294708,.1981428571428571
055294708 ,.126
055294801,0
055294801 ,.1933333333333333
055294802,0
055294802 ,0
055294803,0
055294803 ,.005
055294901 ,1.904444444444445
055294902,.0001916666666667
055295001 ,.2166666666666667
055295003,1.018888888888889
055295003 ,1.1625
055295011,.6174999999999998
055295011 ,.6484615384615384
055295012,1.955555555555555
055295012 ,2.2625
055295013,1.0602
055295013 ,.0863333333333333
055295015,1.254444444444444
055295015 ,.4616666666666667
055295016,5.771428571428571
055295016 ,7.895652173913043
055295101,.10725
055295101 ,0
055295102,.0587777777777778
055295102 ,0
055295103,.059
055295103 ,0
055295104,.0606
055295104 ,.1196666666666667
055295201,.538
055295201 ,.412
055295205,.4216666666666667
055295205 ,.346
055295206 ,.622
055295207,.35
055295301,.0282857142857143
055295301 ,4.41875
055295302 ,.155
055295310,.0094
055295310 ,0
055295401,1.380266666666667
055295401 ,.6890833333333332
055295405 ,.32
055295501 ,5.362499999999999
055295503 ,.874
055295504,.677
055295504 ,.6559999999999999
055295505,.0383636363636364
055295505 ,0
055295507,1.3
055295507 ,1.3
055295508,.1602863636363636
055295508 ,.133
055295509,.8066666666666668
055295509 ,.595
055295510,.4067277777777778
055295601,.8100000000000001
055295601 ,.9162499999999999
055295703,0
055295703 ,.0125
055295704,.02
055295704 ,.0822222222222222
055295705,0
055295705 ,.055
055295706,0
055295706 ,0
055295802,.04
055295802 ,.030625
055295901,3.282072727272727
055295901 ,3.7
055295902,1.718518181818182
055295902 ,1.8447
061020808,.15
061870043,.004
061870124,.005
062000905,0
062004336,0
063500114,.2466666666666667
063506114,.17
064020001,.575
070000002,.5439999999999999
070000003,.0728571428571429
070000004,.2737428571428571
070000007,.337
070000008,8.469999999999999
070000014,.0441666666666667
070000017,0
070000023,1.377
070000024,0
080890001,.039375
080890001 ,.02
080890002,.8387500000000001
080890002 ,1.05
083090001 ,.4545
083090002,.02
083090002 ,0
083090003,2.2825
083090003 ,.13
083090004,.13
083090004 ,.1165
083090005,0
083090005 ,.067
083090007,.13
083090007 ,.0805
083090009,1.04
083090009 ,.51
083090010,.33
083090021,.385
083090021 ,.21
083090022,.425
083090022 ,.46
083090023,.065
083090023 ,.14
083090024,.435
083090024 ,.49
083090025,.135
083090025 ,.15
083090026,.09
083090026 ,0
083090027,1.18
083090027 ,.9399999999999999
083090028,.836
083090028 ,3.793333333333333
083090029,.27
083090029 ,.3
083090030,.135
083090030 ,.14
083090031,.44
083090031 ,.61
083090032,.625
083090032 ,1.48
083090033,.16
083090033 ,.09
083090034,.835
083090034 ,.6
083090036,.8533333333333334
083090036 ,.84
083090037,.2
083090037 ,.05
083090038,.11
083090050,.18
083090061 ,.09
083090062 ,0
083090063 ,.41
083090064 ,1.506666666666667
083090066 ,0
083090079,.25
083090090,.0157142857142857
083090090 ,.01
083090092,.1
083090092 ,.21
083090093,0
083090097,.17
083090301,.1466666666666667
083090301 ,.1166666666666667
083090302,0
083090302 ,0
083090303,.115
083090305,.8733333333333334
083090308,1.62
083090309,.4233333333333333
083090310,.6
083090311,.12
083090313,2.69
083890002,.08
083890026,.175
083890026 ,0
083890030,.151
083890036,0
084690019 ,1.4125
084690020,2.17
084690020 ,1.7
084690021 ,2.225
084690022,1.173571428571428
084690022 ,1.116666666666667
084690025 ,1.6
084690026,0
084690026 ,0
084690029,.7497777777777779
084690438,0
084690438 ,0
084690439,0
084690439 ,.04
084690440,.0222222222222222
084690440 ,.0666666666666667
084690441,0
084690441 ,.06
084690466 ,.7275
084690467 ,.8039999999999999
084690468 ,1.475
084690469 ,.785
084690471 ,1.35
084690472 ,.075
084690474,1.035727272727273
084690474 ,.9611111111111111
084690475,.9701212121212122
084690475 ,.9333333333333333
084690478 ,2.233333333333333
084690480,2.413333333333334
084690480 ,2.033333333333334
084690481 ,.6000000000000001
084690483 ,1.72
084690484 ,.5666666666666667
084690485,.5826
084690512,1.6475
084690512 ,1.366666666666667
084690521,2.287
084690521 ,1.65
084690528,1
084690528 ,1.166666666666667
084690531 ,1.133333333333334
084690532 ,1.458483333333333
084990002 ,.93
084990004,.0176818181818182
084990004 ,.008
084990009,.025
084990009 ,.0266666666666667
085690002,0
085690003,.102
085690004 ,0
085690008 ,0
085690010,0
085690010 ,0
085690016,0
090400001,1.2345
090400002,1.5295
090400003,5.437073170731707
090400004,1.8395
090400005,2.352
090400006,1.1
090400008,8.591621621621622
090400009,.115
090400013,3.056153846153847
090400014,2.33
090400016,7.549354838709679
090400018,1.612258064516129
090400019,1.5655
090400020,6.073703703703703
090400021,2.6156
090400022,1.424928571428572
090400023,6.160666666666667
090400024,1.87
090400026,.9733333333333333
090400027,4.624814814814814
090400028,2.221111111111111
090400029,1.112272727272727
090400030,1.3125
090400032,5.632916666666667
090400034,7.860196078431374
090400035,4.928695652173913
090400036,3.11
090400037,4.054782608695652
090400038,1.326470588235294
090400040,2.007307692307692
090400041,2.1156
090400042,2.306969696969697
090400047,5.284961240310076
090400051,1.542857142857143
090400052,.9399999999999999
090400054,.0076923076923077
090400057,.2233333333333334
090400060,1.096111111111111
090400063,.7157894736842106
090400071,.3076923076923077
090400073,.175
090400076,.2712765957446808
090400083,.02
090400085,.28
090400086,.208
090400088,5.491041666666666
090400089,.3254736842105263
090400090,5.360454545454545
090400092,4.792622950819671
090400094,8.563617021276597
090400096,1.307142857142857
090400098,4.06357142857143
090400100,1.945454545454546
090400101,2.5
090400102,.3781818181818182
090400103,.4525
090400104,.8438333333333334
090400105,1.191666666666667
090400106,.0321052631578947
090400107,.1342857142857143
090400108,4.73076923076923
090400109,3.872121212121213
090400110,.5998333333333333
090400111,3.497
090400112,1.296
090400114,1.119277108433735
090400116,1.167117647058823
090400117,.5646666666666665
090400120,.1428571428571428
090400122,8.308
090400123,.53
090400206,1.4048
090400207,.1005
090400208,3.32
090400209,1.523333333333333
090400215,.7450000000000001
090400217,.9
090400218,.9255555555555556
090400220,1.433666666666666
090400226,4.811500000000001
090400227,2.731368421052632
090400229,8.085571428571429
090400231,3.808666666666666
090400232,1.194166666666667
090400233,2.172857142857143
090400234,.9787857142857144
090400237,4.276666666666666
090400242,1.834166666666667
090400243,0
090400244,.1725
090400251,.1733333333333333
090400259,.064
090400260,.01
090400267,.6074999999999999
090400273,1.065
090400274,4.809866666666667
090400276,5.528476190476191
090400302,.0270588235294118
090400303,0
090400304,.2538461538461538
090400316,1.116428571428572
090400320,.882
090400345,1.909047619047619
090400346,4.868571428571428
090400378,.1123809523809524
090400383,0
090400385,.151
090400386,.185
090400388,.0464285714285714
090400393,2.014285714285715
090400394,.3686666666666667
090400395,.0696153846153846
090400402,.2855
090400661,.0455555555555556
090400662,1.533333333333333
090400673,.1666666666666667
090400675,3.4175
090400676,.155
090400677,.1504
090400678,.1193571428571428
090400679,.483125
090400680,0
090400681,.4
090400682,.31
090400684,5.415
090400685,2.48
090400687,.9233333333333335
090400688,0
090400689,.1758823529411765
090400692,.8664444444444444
090400693,.0107142857142857
090400694,.2557368421052632
090400695,1.437222222222222
090400697,.2227272727272727
090400698,3.36051724137931
090400699,1.291818181818182
090400700,.7383333333333333
090400701,3.060909090909091
090400702,2.35
090400703,2.036428571428571
090400705,1.250714285714286
090400706,.7386666666666667
090400710,1.174
090401323,.032
090402014,1.815
090402015,1.436666666666667
090402057,.0661538461538461
090403008,.7733333333333334
090403009,1.039166666666667
090403010,.0248333333333333
090403011,.2366666666666667
090407149,.9821666666666666
090408027,2.3
090411311,3.65
090433001,1.35625
090600052,1.984041666666667
090600053,1.656
090600054,.0157142857142857
090600056,6.153846153846154
090600057,2.496052631578948
090600059,1.964285714285714
090600061,1.704233938888889
090600118,1.124107142857143
090600119,.5929387755102041
090600120,.15115
090600121,.1351290322580645
090600122,.4476744186046512
090600124,.6866666666666666
090600125,2.98
090600126,1.209749148125
090600127,.1133333333333333
090600128,0
090600129,0
090600130,.0264705882352941
090600131,0
090600132,.0441176470588235
090600133,0
090600134,.1471428571428572
090600135,.1074074166666667
090600137,0
090600138,0
090600139,.38003952
090600142,1.065603125
090600144,1.260430864375
090600145,.3909090909090909
090600146,3.665664412659575
090600147,2.350745655977779
090600150,.0276923076923077
090600151,.9508775510204079
090600154,1.381024390243902
090600156,1.752322714864864
090600158,1.676009803921568
090600159,0
090600160,.837
090600161,.2816666666666667
090600165,2.895999999999999
090600167,.4514285714285715
090600183,0
090600190,4.7208
090600193,0
090600194,0
090600201,2.021428571428572
090600226,.4696296296296297
090600227,.415625
090600228,.1083333333333333
090600236,.105
090600238,0
090600247,0
090600362,.5545454545454545
090600399,1.37
090600601,.1745454545454545
090600741,.0866666666666667
090605000,0
090605004,.2763333333333333
090605006,.06
090605007,.1564285714285714
090605008,.0704545454545455
090605011,.1177142857142857
090605012,1.32875
090605013,1.506977482777778
090605014,1.736666666666667
090605015,.3021196857894737
090605017,.1703275944444444
090605019,.2257222222222223
090605020,.115
090605021,0
