"pwsid","detection_share"
"AL0000502 ",1
"TX0110025 ",0
"TX0150180 ",0
"TX0190042 ",0
"TX0200027 ",0
"TX0200232 ",0
"TX0200501 ",0.13953488372093
"TX0200556 ",0
"TX0310087 ",0
"TX0430074 ",0
"TX0500037 ",0
"TX0710174 ",0.0454545454545455
"TX0710175 ",0
"TX0840043 ",0
"TX0840141 ",0
"TX0910130 ",0
"TX1010250 ",0
"TX1010312 ",0
"TX1010770 ",0
"TX1011108 ",0
"TX1011168 ",0
"TX1011577 ",0
"TX1011578 ",0.0126582278481013
"TX1011650 ",0
"TX1012008 ",0
"TX1012402 ",0
"TX1012802 ",0
"TX1012841 ",0
"TX1012855 ",0
"TX1013158 ",0.0555555555555556
"TX1013221 ",0
"TX1013230 ",0
"TX1080222 ",0
"TX1100019 ",0
"TX1230048 ",0
"TX1230066 ",0
"TX1230079 ",0.0285714285714286
"TX1230089 ",0
"TX1230093 ",0
"TX1230096 ",0
"TX1370003 ",0
"TX1520020 ",0.05
"TX1520122 ",0
"TX1520123 ",0
"TX1780055 ",0
"TX2140031 ",0
"TX2330006 ",0.0512820512820513
"TX0790413 ",0
"TX1011562 ",0.0526315789473684
"TX1810050 ",0
"TX0200629 ",0
"TX1320003 ",0
"TX1230098 ",0
"TX1012836 ",0
"TX1013339 ",0
"TX0840264 ",0
"TX0790489 ",0
"TX1013413 ",0
"TX1230103 ",0
"TX1170023 ",0
"NC0467555 ",0
"NC7065007 ",0
"NC4051011 ",0
"NC0309527 ",0
"NC0410457 ",0
"NC2080047 ",0
"NC2060084 ",0
"NC0465510 ",0
"NC0465197 ",0.0416666666666667
"NC0410524 ",0
"NC0363617 ",0
"NC7016003 ",0
"NC3017042 ",0
"AZ0406006 ",NA
"AZ0403097 ",NA
"AK2331079 ",0
"AK2330138 ",0
"AK2333097 ",0
"AK2331100 ",0
"AK2311697 ",0.272727272727273
"AK2310251 ",0.136363636363636
"AK2340434 ",0
"AK2310764 ",0
"AK2310578 ",0
"AK2311419 ",0
"AK2334239 ",0
"AK2330007 ",0
"AK2330003 ",0
"AK2330028 ",0
"AK2330029 ",0
"AK2330037 ",0.0476190476190476
"AK2330036 ",0.0555555555555556
"AK2218758 ",0
"AK2330055 ",0
"AK2330061 ",0
"AR0000731 ",0
"ARN000188 ",0
"ART001110 ",0.015625
"IA0345884 ",0
"IA1750097 ",0
"IA2900900 ",0
"IA3554505 ",0.037037037037037
"IA4802701 ",0
"IA5625146 ",0.4
"IA5715152 ",0.0454545454545455
"IA0656101 ",0.157894736842105
"IA5751101 ",0
"CT0090292 ",0
"IN2610040 ",0
"IN2410017 ",0
"KS2105525 ",0.0135135135135135
"MT0003302 ",0
"MT0001725 ",0
"MT0003413 ",0.0232558139534884
"MT0003620 ",0
"MT0003370 ",0
"MT0004204 ",0
"MT0004254 ",0
"MT0004265 ",0.0357142857142857
"MT0004606 ",0
"MT0004736 ",0
"MT0002630 ",0
"MT0001712 ",0
"MT0003476 ",0
"MT0003960 ",0
"MT0004032 ",0
"MT0004067 ",0
"MT0001229 ",0
"MT0003654 ",0.107142857142857
"MT0003996 ",0.0192307692307692
"MT0004089 ",0.142857142857143
"ND2911144 ",0
"ND3911439 ",0
"ND2701564 ",0
"ND0210832 ",0
"NE3121121 ",0
"NJ1311001 ",0
"NM3598008 ",0
"NM3500917 ",0
"NM3500728 ",0
"NM3502029 ",0
"NV0000364 ",0
"NV0001059 ",0.00632911392405063
"NV0001106 ",0
