pwsid,detection_share
010106001,.010761192
010109005,.0091263978
010307001,.20637465
010502002,.27317584
010502003,.00049019611
010502004,0
020000001,.017241379
020000004,0
020000005,.00407332
020000007,.06666667
020000008,.0067114094
020000012,0
020000015,.14814815
020000016,.085714288
020011102,.037037037
040000002,.0040160641
041200001,.0045248871
041200002,0
041200003,.0033783785
041200004,.0011474469
041210001,.014753111
041210003,.030003037
042800001,0
042800002,.0060240962
042800003,.0062857592
042800004,0
042800005,0
043700032,0
043740008,0
043740012,0
043740013,0
043740017,0
043740018,0
043740020,0
043740021,0
043740031,0
043740033,0
043740040,0
043740041,0
043740043,0
043740045,0
043740046,0
043740048,0
043740050,0
043740052,0
050593105,.013586354
050593106,0
050593202,0
050593203,0
050593303,0
050593304,0
050593401,0
050593403,0
050593404,0
050593405,0
050593504,0
050593609,0
050593702,.0047169812
050593710,.0011587485
050593711,0
050593801,.007751938
050593802,.031914894
050593803,0
050593804,.10647279
050593805,.086206898
050593901,0
050593910,0
050593911,0
050594204,.015151516
050594208,0
050594210,.0018939395
050594212,0
050594214,0
050594218,.10526316
050594220,0
050594221,0
050594222,0
050594503,0
050594504,0
050594602,0
050594703,.0625
050594709,0
050595010,0
050595011,0
050595012,0
050595017,0
050595018,0
050595205,0
050595305,.0099999998
050595307,0
050595308,0
050595309,.049382716
050595310,0
050595401,.0074074077
050595512,0
050595513,0
050595514,0
050595515,0
050595911,.040650405
050595919,0
050595920,0
055293101,.0062500001
055293201,0
055293302,.0059523811
055293303,0
055293304,0
055293401,.004950495
055293501,0
055293502,.0031746032
055293503,0
055293504,.004901961
055293505,0
055293601,0
055293603,.0031392693
055293610,0
055293611,0
055293702,.00053191488
055293801,.080165014
055293802,.1558508
055293901,0
055294101,0
055294201,0
055294202,0
055294203,0
055294204,0
055294205,0
055294207,0
055294208,0
055294211,0
055294214,0
055294301,0
055294304,.13668224
055294401,.03635595
055294402,.0032852876
055294403,.032258064
055294404,.038555555
055294405,.017177986
055294501,0
055294502,0
055294503,0
055294506,.0003267974
055294602,.0018018018
055294603,0
055294604,0
055294701,.004854369
055294702,0
055294703,.0024752475
055294704,0
055294705,.0074738413
055294708,0
055294801,0
055294802,0
055294803,0
055294901,.0062500001
055294902,.010526316
055295001,.03773585
055295003,.004249292
055295011,0
055295012,0
055295013,.0061728396
055295015,0
055295016,0
055295101,0
055295102,0
055295103,0
055295104,.0019801981
055295201,.0058139535
055295205,.0099999998
055295206,0
055295207,.013333334
055295301,.009152255
055295302,.056338027
055295306,.0625
055295310,.011132456
055295401,.0041045472
055295405,.014705882
055295501,0
055295503,0
055295504,.0032679739
055295505,.060515873
055295507,.076509416
055295508,.0038659794
055295509,0
055295510,0
055295601,.022482123
055295703,.0012886598
055295704,0
055295705,.014245015
055295706,0
055295802,.0062111802
055295901,.020391842
055295902,0
061000101,0
061000102,.021472393
061020808,.002642008
061620001,.018677043
061620002,.0072463769
061800001,0
061870043,0
061870124,0
062000905,.00973236
062001458,.023622047
062001459,0
062002156,.0098522166
062004108,0
062004173,.13716814
062004183,0
062004193,0
062004336,.0012626263
062005838,.25259069
062005840,.014545455
062005883,.014035088
063003614,.21052632
063006122,.010526316
063500006,0
063500007,.010638298
063500008,.010050251
063500108,.010075566
063500110,.043055557
063500111,.018181818
063500113,0
063500114,0
063500116,0
063500119,0
063500120,.0017452007
063500122,0
063500123,0
063500166,0
063500167,0
063500191,0
063501001,.0026525201
063501100,0
063501109,.0016326531
063501111,0
063501116,0
063501117,0
063501119,0
063501122,0
063501123,.088235296
063501124,0
063501133,0
063501160,.0021574975
063501233,.0051020407
063502084,.010416667
063502111,0
063502116,0
063502233,0
063503013,0
063503107,0
063503109,.0023584906
063503111,0
063503115,0
063503117,0
063503118,.0012578616
063503122,0
063503124,.75409836
063503233,0
063504084,.0035714286
063504107,.0098765437
063504118,0
063504119,0
063505118,0
063505233,0
063506008,.002426343
063506107,0
063506111,.00041601661
063506114,.0034638033
063506166,0
063506193,.068825908
063506233,0
063507008,0
063507009,0
063507011,0
063507111,.0096618356
063508008,0
063508109,0
063508166,0
063509008,0
063509166,0
063568423,.0051020407
064020001,.011204482
064020002,.10810811
064020003,0
064026001,.028634362
070000002,.044984676
070000003,0
070000004,.0081743868
070000005,.0041407868
070000006,.054711245
070000007,.0072463765
070000008,.0046620048
070000010,0
070000013,.50568181
070000014,0
070000017,.046195652
070000023,.57534248
070000024,0
073121433,0
073121434,0
080890001,0
080890002,.32421032
080890010,.0087064672
083090001,.039583337
083090002,.014180367
083090003,.085615598
083090004,.0063980585
083090005,0
083090007,.021433786
083090008,0
083090009,.16198348
083090010,.011301829
083090011,.0051650289
083090012,.024891436
083090014,.24175607
083090015,.10416666
083090016,.01279762
083090017,0
083090021,0
083090022,0
083090023,.18659338
083090024,.045314875
083090025,0
083090026,.044271678
083090027,.037545789
083090028,.015916808
083090029,.19079977
083090030,.0060567148
083090031,.019451827
083090032,.028750665
083090033,.066596322
083090034,.087025791
083090035,.26704925
083090036,.0060933451
083090037,.036556471
083090038,.0094642863
083090039,.0060240962
083090040,0
083090041,.0044155843
083090042,.14285715
083090043,.071428575
083090044,.29258457
083090045,0
083090047,.19976324
083090048,0
083090049,.10657272
083090050,.10967043
083090051,.0054750135
083090052,.010142873
083090053,.010658682
083090055,.11666667
083090056,.140625
083090057,0
083090058,0
083090061,.02629661
083090062,.076435328
083090063,.024592355
083090064,.11186721
083090065,.075630255
083090066,.25707525
083090067,.012127062
083090068,0
083090070,.14
083090072,.013259571
083090074,.016384296
083090075,.016331388
083090076,0
083090079,.20567845
083090090,0
083090091,.0016988483
083090092,.023219638
083090093,.013157895
083090094,.048809525
083090095,0
083090097,0
083090301,.15934829
083090302,.035714287
083090303,.1613704
083090304,0
083090305,.16609444
083090306,0
083090307,.0073529412
083090308,0
083090309,.015688445
083090310,.3011696
083090311,.15572858
083090312,.39333335
083090313,0
083890001,.022873681
083890002,0
083890003,.0039719022
083890007,0
083890009,0
083890010,0
083890011,0
083890015,.0030967609
083890016,.019461827
083890017,.010454916
083890023,.0019640229
083890025,.0054370025
083890026,.074113853
083890027,.074626863
083890029,0
083890030,0
083890032,0
083890033,0
083890036,0
083890037,0
084690017,0
084690019,.029276317
084690020,.010516529
084690021,0
084690022,0
084690023,.017699115
084690025,.0033112583
084690026,0
084690027,.010716232
084690028,0
084690029,.029166667
084690030,.028571429
084690437,0
084690438,.012658227
084690439,.012109501
084690440,.023887891
084690441,0
084690453,.0023809525
084690456,.017220221
084690457,.011598711
084690458,.0055613667
084690460,.0060730726
084690461,.026597897
084690462,.019796651
084690463,.016612925
084690465,.011092486
084690466,.018398268
084690467,.012376848
084690468,.051207423
084690469,0
084690471,.01500369
084690472,.022839507
084690474,.001122268
084690475,.0038345691
084690476,.016129032
084690478,.0072951079
084690480,.002171607
084690481,.0063172043
084690483,.015691942
084690484,.03515327
084690485,.041239962
084690486,0
084690489,0
084690491,0
