pwsid,total_samples,detection_share,pfas_count,concentration_sum,detection,max
010106001,24,0,0,0,0,0
010109005,24,0,0,0,0,0
043740039,29,0,0,0,0,0
055293201,12,0,0,0,0,0
055294506,12,0,0,0,0,0
055295003,12,0,0,0,0,0
055295310,12,0,0,0,0,0
055295401,24,0,0,0,0,0
063503109,87,0,0,0,0,0
063503111,87,0,0,0,0,0
063503115,87,0,0,0,0,0
063506008,12,0,0,0,0,0
063506111,41,0,0,0,0,0
063506114,12,0,0,0,0,0
070000002,21,0,0,0,0,0
070000003,21,0,0,0,0,0
070000005,21,0,0,0,0,0
070000006,21,0,0,0,0,0
070000007,21,0,0,0,0,0
070000008,21,0,0,0,0,0
070000010,21,0,0,0,0,0
070000013,21,0,0,0,0,0
070000025,21,0,0,0,0,0
083090002,18,0,0,0,0,0
083090044,18,0,0,0,0,0
083090045,18,0,0,0,0,0
083090047,18,0,0,0,0,0
083090061,18,0,0,0,0,0
083090062,18,0,0,0,0,0
083090063,18,0,0,0,0,0
083090064,54,0,0,0,0,0
083890023,12,0,0,0,0,0
083890025,18,0,0,0,0,0
084690438,18,0,0,0,0,0
084690475,58,0,0,0,0,0
084690533,18,0,0,0,0,0
084690534,18,0,0,0,0,0
084690535,18,0,0,0,0,0
084690536,18,0,0,0,0,0
084990002,18,0,0,0,0,0
084990003,18,0,0,0,0,0
084990004,36,0,0,0,0,0
085690004,54,0,0,0,0,0
085690008,18,0,0,0,0,0
090400020,24,0,0,0,0,0
090400047,48,0,0,0,0,0
090400109,36,.0833333333333333,3,.1769999973475933,1,.12
090400274,12,0,0,0,0,0
090400693,30,0,0,0,0,0
090407149,12,0,0,0,0,0
090600052,29,0,0,0,0,0
090600142,48,0,0,0,0,0
090600154,33,0,0,0,0,0
090605013,48,0,0,0,0,0
090605107,70,0,0,0,0,0
090605153,48,0,0,0,0,0
093200369,12,0,0,0,0,0
093500333,24,0,0,0,0,0
104101136,42,0,0,0,0,0
104121120,24,0,0,0,0,0
104121121,42,0,0,0,0,0
105300013,24,0,0,0,0,0
105300031,42,0,0,0,0,0
105338117,21,0,0,0,0,0
105388890,21,0,0,0,0,0
AK2110342,30,0,0,0,0,0
AK2130596,6,0,0,0,0,0
AK2210906,487,.0061601642710472,2,.020299999974668,1,.0112
AK2211423,77,0,0,0,0,0
AK2212021,12,0,0,0,0,0
AK2224646,36,0,0,0,0,0
AK2226020,54,0,0,0,0,0
AK2240456,24,0,0,0,0,0
AK2240757,40,0,0,0,0,0
AK2250011,29,0,0,0,0,0
AK2260286,2,0,0,0,0,0
AK2298103,87,0,0,0,0,0
AK2310675,18,.0555555555555556,1,2.599999904632568,1,2.5999999
AK2310730,12,0,0,0,0,0
AK2310900,12,0,0,0,0,0
AK2310918,74,.2432432432432433,2,27,1,14
AK2320078,52,.5,2,107.3000001907349,1,98
AK2340109,2,.5,1,.2300000041723251,1,.23
AK2340117,2,0,0,0,0,0
AK2340230,2,0,0,0,0,0
AK2340670,24,0,0,0,0,0
AK2350023,96,.2083333333333333,5,63.79999923706055,1,24.4
AK2370625,41,.0731707317073171,2,2924,1,2900
AK2372245,16,.625,2,691,1,360
AL0000013,33,.2121212121212121,7,.1745000015944242,1,.072999999
AL0000017,155,.0516129032258065,5,47.29999971389771,1,23
AL0000023,76,.0526315789473684,2,14.59999990463257,1,8.6999998
AL0000025,90,.0555555555555556,5,13.3103999523446,1,5.5999999
AL0000029,85,.0117647058823529,1,2.400000095367432,1,2.4000001
AL0000035,73,.0136986301369863,1,2,1,2
AL0000036,34,.2941176470588235,4,15.39999985694885,1,7.5999999
AL0000038,36,0,0,0,0,0
AL0000048,65,.1076923076923077,5,63.59999990463257,1,32
AL0000053,12,0,0,0,0,0
