pwsid,total_samples,detection_share,concentration_avg,concentration_max,pfas_count
010106001,111,.11711711,28.08095228672028,49.29999971389771,6
010109005,24,0,0,0,0
040000002,58,0,0,0,0
043740039,112,0,0,0,0
055293201,12,0,0,0,0
055294301,58,0,0,0,0
055294502,33,0,0,0,0
055294506,12,0,0,0,0
055295003,70,0,0,0,0
055295310,12,0,0,0,0
055295401,12,0,0,0,0
061020808,58,.034482758,3.699999928474426,7.399999856948853,2
063503109,116,0,0,0,0
063503111,58,0,0,0,0
063503115,83,0,0,0,0
063506008,12,0,0,0,0
063506111,70,0,0,0,0
063506114,12,0,0,0,0
070000002,25,0,0,0,0
070000003,25,0,0,0,0
070000005,25,0,0,0,0
070000006,25,0,0,0,0
070000007,25,0,0,0,0
070000008,25,0,0,0,0
070000010,25,0,0,0,0
070000013,25,0,0,0,0
070000025,25,0,0,0,0
083090002,18,0,0,0,0
083090044,18,0,0,0,0
083090045,18,0,0,0,0
083090047,18,0,0,0,0
083090061,18,0,0,0,0
083090062,18,0,0,0,0
083090063,18,0,0,0,0
083090064,18,0,0,0,0
083890023,12,0,0,0,0
083890025,18,0,0,0,0
084690438,18,0,0,0,0
084690475,116,0,0,0,0
084690510,29,0,0,0,0
084690516,116,0,0,0,0
084690532,91,0,0,0,0
084690533,18,0,0,0,0
084690534,18,0,0,0,0
084690535,18,0,0,0,0
084690536,18,0,0,0,0
084990002,18,0,0,0,0
084990003,18,0,0,0,0
084990004,18,0,0,0,0
085690004,18,0,0,0,0
085690008,18,0,0,0,0
090400020,70,0,0,0,0
090400047,76,0,0,0,0
090400090,87,.011494253,1,3,1
090400109,15,.2,58.99999976158142,177,3
090400274,12,0,0,0,0
090400345,58,0,0,0,0
090400693,18,0,0,0,0
090407149,12,0,0,0,0
090600052,58,0,0,0,0
090600142,12,0,0,0,0
090600147,29,0,0,0,0
090600154,87,0,0,0,0
090605013,73,.04109589,4.133333206176758,13.59999942779541,3
090605047,58,0,0,0,0
090605107,70,0,0,0,0
090605136,29,0,0,0,0
090605153,12,0,0,0,0
090605163,33,.060606062,13.19999957084656,13.19999957084656,2
090605174,58,0,0,0,0
