pwsid,total_samples,total_samples_2020,detection_share,detection_share_2020,pfoa_and_pfos,pfoa_and_pfos_2020,concentration_avg,concentration_avg_2020,concentration_max,concentration_max_2020,pfas_count,pfas_count_2020
010106001,111,87,.11711711,.14942528,2.0714285,4.8333335,28.08095228672028,33.56666660308838,49.29999971389771,49.29999971389771,6,6
010109005,24,0,0,,0,0,0,0,0,0,0,0
040000002,58,58,0,0,0,0,0,0,0,0,0,0
043740039,112,112,0,0,0,0,0,0,0,0,0,0
055293201,12,0,0,,0,0,0,0,0,0,0,0
055294301,58,58,0,0,0,0,0,0,0,0,0,0
055294502,33,33,0,0,0,0,0,0,0,0,0,0
055294506,12,0,0,,0,0,0,0,0,0,0,0
055295003,70,58,0,0,0,0,0,0,0,0,0,0
055295310,12,0,0,,0,0,0,0,0,0,0,0
055295401,12,0,0,,0,0,0,0,0,0,0,0
061020808,58,58,.034482758,.034482758,2.05,2.05,3.699999928474426,3.699999928474426,7.399999856948853,7.399999856948853,2,2
063503109,116,116,0,0,0,0,0,0,0,0,0,0
063503111,58,58,0,0,0,0,0,0,0,0,0,0
063503115,83,83,0,0,0,0,0,0,0,0,0,0
063506008,12,0,0,,0,0,0,0,0,0,0,0
063506111,70,58,0,0,0,0,0,0,0,0,0,0
063506114,12,0,0,,0,0,0,0,0,0,0,0
070000002,25,25,0,0,0,0,0,0,0,0,0,0
070000003,25,25,0,0,0,0,0,0,0,0,0,0
070000005,25,25,0,0,0,0,0,0,0,0,0,0
070000006,25,25,0,0,0,0,0,0,0,0,0,0
070000007,25,25,0,0,0,0,0,0,0,0,0,0
070000008,25,25,0,0,0,0,0,0,0,0,0,0
070000010,25,25,0,0,0,0,0,0,0,0,0,0
070000013,25,25,0,0,0,0,0,0,0,0,0,0
070000025,25,25,0,0,0,0,0,0,0,0,0,0
083090002,18,18,0,0,0,0,0,0,0,0,0,0
083090044,18,18,0,0,0,0,0,0,0,0,0,0
083090045,18,18,0,0,0,0,0,0,0,0,0,0
083090047,18,18,0,0,0,0,0,0,0,0,0,0
083090061,18,18,0,0,0,0,0,0,0,0,0,0
083090062,18,18,0,0,0,0,0,0,0,0,0,0
083090063,18,18,0,0,0,0,0,0,0,0,0,0
083090064,18,18,0,0,0,0,0,0,0,0,0,0
083890023,12,0,0,,0,0,0,0,0,0,0,0
083890025,18,18,0,0,0,0,0,0,0,0,0,0
084690438,18,18,0,0,0,0,0,0,0,0,0,0
084690475,116,116,0,0,0,0,0,0,0,0,0,0
084690510,29,29,0,0,0,0,0,0,0,0,0,0
084690516,116,116,0,0,0,0,0,0,0,0,0,0
084690532,91,91,0,0,0,0,0,0,0,0,0,0
084690533,18,18,0,0,0,0,0,0,0,0,0,0
084690534,18,18,0,0,0,0,0,0,0,0,0,0
084690535,18,18,0,0,0,0,0,0,0,0,0,0
084690536,18,18,0,0,0,0,0,0,0,0,0,0
084990002,18,18,0,0,0,0,0,0,0,0,0,0
084990003,18,18,0,0,0,0,0,0,0,0,0,0
084990004,18,18,0,0,0,0,0,0,0,0,0,0
085690004,18,18,0,0,0,0,0,0,0,0,0,0
085690008,18,18,0,0,0,0,0,0,0,0,0,0
090400020,70,58,0,0,0,0,0,0,0,0,0,0
090400047,76,58,0,0,0,0,0,0,0,0,0,0
090400090,87,87,.011494253,.011494253,0,0,1,1,3,3,1,1
090400109,15,0,.2,,40,0,58.99999976158142,0,177,0,3,0
090400274,12,0,0,,0,0,0,0,0,0,0,0
090400345,58,58,0,0,0,0,0,0,0,0,0,0
090400693,18,0,0,,0,0,0,0,0,0,0,0
090407149,12,0,0,,0,0,0,0,0,0,0,0
090600052,58,58,0,0,0,0,0,0,0,0,0,0
090600142,12,0,0,,0,0,0,0,0,0,0,0
090600147,29,29,0,0,0,0,0,0,0,0,0,0
090600154,87,87,0,0,0,0,0,0,0,0,0,0
090605013,73,61,.04109589,.049180329,0,0,4.133333206176758,4.5333331823349,13.59999942779541,13.59999942779541,3,3
090605047,58,58,0,0,0,0,0,0,0,0,0,0
090605107,70,58,0,0,0,0,0,0,0,0,0,0
090605136,29,29,0,0,0,0,0,0,0,0,0,0
090605153,12,0,0,,0,0,0,0,0,0,0,0
090605163,33,33,.060606062,.060606062,0,0,13.19999957084656,13.19999957084656,13.19999957084656,13.19999957084656,2,2
090605174,58,58,0,0,0,0,0,0,0,0,0,0
093200369,12,0,0,,0,0,0,0,0,0,0,0
093500333,24,0,0,,0,0,0,0,0,0,0,0
104101136,25,25,0,0,0,0,0,0,0,0,0,0
104121120,24,0,0,,0,0,0,0,0,0,0,0
104121121,25,25,0,0,0,0,0,0,0,0,0,0
105300003,91,91,0,0,0,0,0,0,0,0,0,0
105300013,12,0,0,,0,0,0,0,0,0,0,0
105300019,33,33,0,0,0,0,0,0,0,0,0,0
105300031,25,25,0,0,0,0,0,0,0,0,0,0
105300116,83,83,0,0,0,0,0,0,0,0,0,0
105338117,25,25,0,0,0,0,0,0,0,0,0,0
105388890,24,24,0,0,0,0,0,0,0,0,0,0
AK2110342,18,0,0,,0,0,0,0,0,0,0,0
AK2130596,6,6,0,0,0,0,0,0,0,0,0,0
AK2210605,29,29,0,0,0,0,0,0,0,0,0,0
AK2210906,320,266,.015625,.018796992,.4789474,.91000003,1.57440197467804,2.763846218585968,20.30000019073486,20.30000019073486,2,2
AK2211423,140,116,0,0,0,0,0,0,0,0,0,0
AK2212021,12,0,0,,0,0,0,0,0,0,0,0
AK2212039,58,58,0,0,0,0,0,0,0,0,0,0
AK2224646,101,89,.01980198,.02247191,0,0,1.04285717010498,1.460000038146973,4.199999809265137,4.199999809265137,1,1
AK2226020,62,62,0,0,0,0,0,0,0,0,0,0
AK2240456,24,0,0,,0,0,0,0,0,0,0,0
AK2240757,70,58,0,0,0,0,0,0,0,0,0,0
AK2241054,29,29,0,0,0,0,0,0,0,0,0,0
AK2250011,116,116,0,0,0,0,0,0,0,0,0,0
AK2260286,2,2,0,0,0,0,0,0,0,0,0,0
AK2260309,112,112,0,0,0,0,0,0,0,0,0,0
AK2293205,58,58,0,0,0,0,0,0,0,0,0,0
AK2298103,58,58,0,0,0,0,0,0,0,0,0,0
AK2310675,11,7,.090909094,.14285715,0,0,1.299999952316284,1.299999952316284,2.599999904632568,2.599999904632568,1,1
AK2310683,58,58,.05172414,.05172414,0,0,6.74999988079071,6.74999988079071,8.800000429153442,8.800000429153442,2,2
AK2310730,12,0,0,,0,0,0,0,0,0,0,0
AK2310900,12,0,0,,0,0,0,0,0,0,0,0
AK2310918,47,15,.36170211,.53333336,5.0293479,6.3277779,5.029347896575928,6.327777624130249,27,20.09999990463257,2,2
AK2320078,52,20,.5,.5,41.238461,43.950001,41.23846173286438,43.94999933242798,107.3000001907349,101,2,2
AK2340109,2,0,.5,,.23,0,.2300000041723251,0,.2300000041723251,0,1,0
AK2340117,2,0,0,,0,0,0,0,0,0,0,0
AK2340230,2,0,0,,0,0,0,0,0,0,0,0
AK2340670,24,0,0,,0,0,0,0,0,0,0,0
AK2350023,96,60,.20833333,.33333334,6.0124998,9.6199999,10.53750002384186,16.86000001430511,63.79999923706055,63.79999923706055,5,5
AK2370625,90,83,.044444446,.012048192,439.71429,0,440.7142944335938,1,2927,3,3,1
AK2370798,29,29,0,0,0,0,0,0,0,0,0,0
AK2372245,12,0,.83333331,,241.03571,0,241.0357055664063,0,691,0,2,0
AL0000013,152,152,.18421052,.18421052,18.866667,18.866667,89.28333353996277,89.28333353996277,179.7999992370605,179.7999992370605,7,7
AL0000017,37,5,.1891892,1,2.4833333,14.9,17.19166660308838,47.29999971389771,64.69999980926514,47.29999971389771,5,5
AL0000023,49,37,.1632653,.21621622,5.0714288,7.0999999,8.514286041259766,11.92000007629395,18.60000038146973,18.60000038146973,2,2
AL0000025,94,94,.13829787,.13829787,3.2799997,3.2799997,13.47000014781952,13.47000014781952,35.90000009536743,35.90000009536743,7,7
AL0000029,19,1,.052631579,1,0,0,2.400000095367432,2.400000095367432,2.400000095367432,2.400000095367432,1,1
AL0000035,13,1,.07692308,1,.66666669,2,.6666666865348816,2,2,2,1,1
AL0000036,28,10,.35714287,1,3.9500003,7.9000006,7.900000214576721,13.10000038146973,15.39999985694885,15.39999985694885,4,4
AL0000038,12,0,0,,0,0,0,0,0,0,0,0
