,race_cat,hb_rel_risk,lcr_rel_risk,pfas_rel_risk,dbp_rel_risk,tcr_rel_risk,boundary
1,amer_ind,2.722486472,0.630152321,0.864889891,0.947750882,0.762099214,county
2,asian,0.678352803,2.087094749,1.284481527,1.02628033,2.005737131,county
3,black,1.06552504,1.182825038,1.05322191,1.086133069,1.440844855,county
4,hisp,0.969704587,1.026837733,1.308276481,0.953136512,0.952672183,county
5,pac_isl,0.502570451,0.854704246,0.829436218,0.692807071,2.259355141,county
6,poc_risk,0.983612915,1.241214951,1.200947908,1.006289804,1.28178016,county
7,amer_ind,2.598594519,0.555571791,0.83155894,0.945730895,0.694101207,zc
8,asian,0.672029731,1.524113798,1.399088535,0.9546938,1.557914655,zc
9,black,1.098396447,1.192259838,1.053985966,1.093257905,1.423585112,zc
10,hisp,1.08668596,0.982588905,1.333974838,0.931494753,0.963102993,zc
11,pac_isl,0.451575642,0.687244158,0.863604344,0.688257402,2.153167918,zc
12,poc_risk,1.037377309,1.130420538,1.229648516,0.98685676,1.21733433,zc
13,amer_ind,3.075644727,0.58829713,0.653384826,0.990475465,0.761197789,usgs
14,asian,0.600916436,1.482792714,1.441130836,1.040685513,1.600795564,usgs
15,black,1.201910416,1.103591035,1.128843894,1.155894967,1.608431697,usgs
16,hisp,1.010064801,0.962529627,1.227308027,0.99725923,1.017877175,usgs
17,pac_isl,0.63915567,0.895306671,0.860949502,0.934301007,1.159199895,usgs
18,poc_risk,1.039794616,1.08852454,1.203927802,1.058124099,1.314760942,usgs
19,amer_ind,3.163190719,0.655021113,0.970158126,0.939692386,0.741377649,epic
20,asian,0.599645372,1.732339855,1.41480656,0.987349955,1.658595338,epic
21,black,1.160349943,1.322283951,1.187064322,1.087156177,1.544578992,epic
22,hisp,1.096135651,1.087771907,1.453557063,0.942811879,0.964948674,epic
23,pac_isl,0.413562345,0.799990937,0.847866977,0.665174638,2.508202722,epic
24,poc_risk,1.072274113,1.253957992,1.328667338,0.998126424,1.280681427,epic
25,amer_ind,3.319852453,0.544059029,0.877283797,0.925034277,0.742619314,hm
26,asian,0.614495491,1.564034078,1.37117818,0.988562875,1.757738124,hm
27,black,1.178026744,1.220007467,1.041496917,1.110814023,1.497816584,hm
28,hisp,1.119149212,0.980609605,1.338250254,0.958454804,1.037997436,hm
29,pac_isl,0.437032081,0.802350846,0.849572551,0.704223452,2.25056332,hm
30,poc_risk,1.092719137,1.140190802,1.221363787,1.011386954,1.300731432,hm
31,income,1.158678539,0.906694388,0.929385709,1.007665725,0.961959704,county
32,income,1.194247513,0.98778281,0.921777677,1.016194408,0.988813107,zc
33,income,1.237758509,0.97128155,0.847709048,1.023389831,0.969056001,usgs
34,income,1.269921538,1.00625264,0.941800592,1.017226838,1.02566101,epic
35,income,1.285188655,0.952487047,0.930384908,1.018898034,0.996694617,hm
